吖	口丫
斃	⺌冂小攵歹匕
旇	方𠂉皮
朇	𠆢一囗⺌日{卑上}十
朼	木匕
柀	木皮
柲	木必
梐	木匕匕土
楅	木{一}口田
榌	木飛
比	匕匕
毕	匕匕十
毖	匕匕必
毙	匕匕歹匕
毞	匕匕毛
毴	毛非
沘	氵匕匕
泌	氵必
湢	氵{一}口田
滗	氵竹毛
滭	氵田艹𰀁
潷	氵竹聿
濞	氵自田丌
煏	火{一}口田
熚	火田艹𰀁
狴	犭匕匕土
獘	⺌冂小攵犬
獙	犭⺌冂小攵
珌	𤣩必
璧	尸口辛玉
畀	田丌
畁	由丌
畐	{一}口田
畢	田艹𰀁
疕	疒匕
疪	疒匕匕
痹	疒田丌
痺	疒{卑上}十
皀	白匕
皕	百百
睤	目田丌
睥	目{卑上}十
碧	𤣩白石
祕	礻必
禆	礻{卑上}十
秕	禾匕匕
秘	禾必
稫	禾{一}口田
笓	竹匕匕
笔	竹毛
筆	竹聿
筚	竹匕匕十
箅	竹田丌
箆	竹冂人匕匕
篦	竹丿囗㐅匕匕
篳	竹田艹𰀁
粃	米匕匕
粊	匕匕米
紕	糹匕匕
紴	糹皮
綼	糹{卑上}十
縪	糹田艹𰀁
繴	尸口辛糸
纰	纟匕匕
罼	罒田艹𰀁
翍	习习皮
聛	耳{卑上}十
肶	⺼匕匕
胇	⺼弗
腷	⺼{一}口田
舭	舟匕匕
芘	艹匕匕
苾	艹必
荜	艹匕匕十
荸	艹十冖子
萆	艹{卑上}十
萞	艹冂人匕匕
蓖	艹丿囗㐅匕匕
蓽	艹田艹𰀁
蔽	艹⺌冂小攵
薜	艹尸口辛
蜌	虫匕匕土
螕	虫丿囗㐅匕匕
袐	衤必
裨	衤{卑上}十
襅	衤田艹𰀁
襞	尸口辛衣
襣	衤自田丌
觱	戊{一}口⺈用
詖	訁皮
诐	讠皮
豍	豆{卑上}十
貏	豸{卑上}十
貱	貝皮
贔	貝貝貝
赑	贝贝贝
跸	𧾷匕匕十
蹕	𧾷田艹𰀁
躃	𧾷尸口辛
躄	尸口辛足
辟	尸口辛
逼	辶{一}口田
避	辶尸口辛
邲	必⻏
鄙	口亠囗口⻏
鄨	⺌冂小攵口巴
鄪	弗貝⻏
鉍	金必
鎞	金丿囗㐅匕匕
鏎	金田艹𰀁
鐴	金尸口辛
铋	钅必
閇	門下
閈	門干
閉	門才
閟	門必
闬	门干
闭	门才
陛	⻖匕匕土
鞸	革田艹𰀁
韠	𫝀口㐄田艹𰀁
飶	飠必
饆	飠田艹𰀁
馝	禾日必
駜	馬必
驆	馬田艹𰀁
髀	冎⺼{卑上}十
髲	E𠫔彡皮
魓	鬼田艹𰀁
鮅	魚必
鰏	魚{一}口田
鲾	鱼{一}口田
鵖	{艮}鳥
鶝	{一}口田鳥
鷝	田艹𰀁鳥
鷩	⺌冂小攵鳥
鼊	尸口辛口电
鼻	自田丌
𠈺	亻匕匕土
𠋯	亻爫臼
𠓷	入大乂乂乂乂
𠛡	必刂
𠡂	弗力
𠦈	井十
𠧅	冎口{卑上}十
𠨘	必卩
𠩿	厂甲一卄
𠬈	去{卑上}十
𠮃	尸口辛又
𠽩	口竹聿
𡚁	⺌冂小攵大
𡛗	匕匕女
𡠚	女田艹𰀁
𡳄	尸口亠囗口
𡻞	山田艹𰀁
𡽶	山自田丌
𢁽	巾必
𢅩	巾罒厶⺝匕匕
𢍁	由廾
𢐦	尸口辛弓
𢖬	忄匕
𢘍	弗心
𢞗	忄丿囗㐅匕匕
𢟵	忄非土
𢡅	忄非木
𢩒	戶⺼巴
𢲾	扌門才
𢳋	扌广{卑上}十
𢴩	扌竹聿
𣁉	必文
𣁢	⺌冂小攵文
𣋹	日⺌冂小攵廾
𣔓	木彳皮
𣕾	木木必
𣘥	木門才
𣚡	木非木
𣝍	木艹甫寸
𣢠	必欠
𣥣	止皮
𣦇	止𠂉日夂
𣦢	尸口辛止
𣩩	尸口辛歹
𣮐	毛{卑上}十
𣯴	毛田艹𰀁
𣴨	氵𦣻
𤂀	氵廿巾入入天
𤅹	氵罒大罒大罒大
𤐙	火尸口辛
𤗚	片{一}口田
𤙞	牜匕匕土
𤜻	犭匕匕
𤝸	犭米
𤠺	犭田艹𰀁
𤡝	犭非土
𤢣	犭尸口辛
𤵘	疒必
𤹝	疒田艹𰀁
𤹦	疒口亠囗口
𤻖	疒自田丌
𤽊	白匕匕
𥆯	目匕匕土
𥈗	目頁
𥏠	矢{卑上}十
𥛘	示田艹𰀁
𥟗	禾由丌
𥢦	禾夂田灬
𥳆	竹⺌冂小攵
𥴬	竹尸口辛
𦀘	糹匕匕土
𦂖	糹甶廾
𦑞	习习{一}口田
𦔆	耒{一}口田
𦠞	⺌冂小攵⺼
𦤫	自自田丌
𦭼	艹爫又
𦯛	艹廾冂人
𦰙	艹廾匕匕
𦱔	艹⺼匕匕
𦳈	艹田匕匕
𦸣	艹广{卑上}十
𧏻	虫田艹𰀁
𧒀	虫⺌冂小攵
𧓄	虫尸口辛
𧓎	{卑上}十虫虫
𧝬	⺌冂小攵衣
𧤃	⺈用田丌
𧥑	戈口{一}{或}⺈用
𧫤	訁田艹𰀁
𧲜	尸口辛{⺈丿口}𧰨
𧳠	豸田丌
𧼱	土龰𠂉日夂
𨅗	𧾷竹聿
𨋥	車弗
𨋩	車亻犬
𨐨	尸口辛井
𨚓	弗⻏
𨟵	酉匕匕
𨠔	酉必
𨲋	E𠫔{卑上}十
𨳲	門亠卜
𨵰	門下下下
𨸼	⻖必
𨻀	⻖丿囗㐅匕匕
𨻼	⻖非土
𩉫	革匕匕
𩊰	革匕匕土
𩏂	𫝀口㐄{卑上}十
𩑻	白頁
𩣚	馬不口
𩪖	冎⺼田艹𰀁
𩪧	冎⺼尸口辛
𩯃	E𠫔彡弗貝
𩲢	鬼皮
𩾳	鳥丏
𪋜	鹿田艹𰀁
𪌄	來{夊}巳
𪍪	來{夊}田艹𰀁
𪏺	禾人氺必
𪐄	禾人氺{卑上}十
㝸	小白儿
㣐	白水彡
㦚	辛辛讠
㭓	木厶廾
㲢	户冂卄毛
㳎	氵厶廾
㴜	氵户冂卄
㵷	辛辛氵
㺹	𤣩厶廾
䁵	目⺫一口𧘇
䉸	竹辛辛亠二口
䒪	艹厶廾
䛒	工丂亠二口
䡢	車户冂卄
䪻	厶廾頁
便	亻更
匾	匚户冂卄
卞	亠卜
变	亠{亦下}又
変	亠{亦下}夂
峅	山厶廾
弁	厶廾
徧	彳户冂卄
忭	忄亠卜
惼	忄户冂卄
扁	户冂卄
抃	扌亠卜
揙	扌户冂卄
昪	日厶廾
汳	氵𠂆又
汴	氵亠卜
炞	火亠卜
煸	火户冂卄
牑	片户冂卄
猵	犭户冂卄
獱	犭宀一𣥂貝
玣	𤣩亠卜
甂	户冂卄瓦
疺	疒乏
砭	石乏
碥	石户冂卄
稨	禾户冂卄
窆	宀八乏
笾	竹辶力
箯	竹亻更
籓	竹氵釆田
籩	竹辶自宀八方
糄	米户冂卄
編	糹户冂卄
緶	糹亻更
缏	纟亻更
编	纟户冂卄
臱	自宀八方
艑	舟户冂卄
苄	艹亠卜
萹	艹户冂卄
藊	艹禾户冂卄
蝙	虫户冂卄
褊	衤户冂卄
覍	小見
覵	門月見
諚	訁宀一龰
變	糸亠二口糸攵
貶	貝乏
贬	贝乏
辡	辛辛
辧	辛辛刀
辨	辛辛リ
辩	辛辛讠
辫	辛辛纟
辮	辛辛糸
辯	辛辛亠二口
边	辶力
辺	辶刀
遍	辶户冂卄
邉	辶自宀八口
邊	辶自宀八方
釆	爫木
鍽	金户冂卄
閞	門厶廾
鞕	革更
鞭	革亻更
鯾	魚亻更
鯿	魚户冂卄
鳊	鱼户冂卄
鴘	厶廾鳥
鶣	户冂卄鳥
𠐈	亻自宀八方
𠑟	亻辶自宀八方
𠓫	入丘八
𠪂	厂户冂卄
𠭹	⺊貝又又
𠯴	口亠卜
𠷖	口宀八乏
𡈯	不囗口貝
𡊅	厶廾土
𡬯	𦥔寸
𡬲	巛目寸
𡬸	巛𦥑寸
𢩟	大人人户冂卄
𢬵	扌亠厶廾
𢭥	手⺇手
𢴂	扌匚户冂卄
𢻶	𠆢丶㇇⺊又
𣈠	日厶大廾
𣝜	厶口木户冂卄
𣩀	歹户冂卄
𣪭	龶目殳
𣸇	氵亻更
𤀫	氵辛辛
𤀲	辛辛水
𤄺	氵辶自宀八方
𤺇	疒彳户冂卄
𤻶	疒糹户冂卄
𥍚	目糸亠二口糸攵
𥣝	禾户冂卄禾
𥣰	禾自宀八方
𥿋	糹厶廾
𦇭	糹辶白宀八口
𦉙	缶广コ〢㇉一灬
𦟣	⺼丿囗㐅儿夊
𦽟	艹辶户冂卄
𧩰	訁宀八之
𧸘	貝𠆢一口口人人
𨖠	辶𠂆户冂卄
𨖾	辶糹糸
𨚕	厶廾⻏
𨥧	金乏
𨧕	金亠二口
𨩫	金亻更
𩩯	冎⺼户冂卄
𩰍	鬥亠卜
𪉱	占㐅丶丶丶丶户冂卄
𪏗	卄一由八户冂卄
𪓍	民⺊又业⺌冂小
𪖯	自田丌户冂卄
㟽	山覀示
㠒	山覀示刂
㧼	扌龶𧘇
㯱	𰀉冖木缶
㯹	木覀示寸
䔸	艹犬犬犬
䞄	方𠂉也貝
䮽	馬鹿灬
俵	亻龶𧘇
僄	亻覀示
儦	亻鹿灬
墂	土覀示
婊	女龶𧘇
嫑	不覀女
幖	巾覀示
彪	虍几彡
摽	扌覀示
杓	木勺
标	木示
標	木覀示
檦	木覀示刂
淲	氵虍几
滮	氵虍几彡
瀌	氵鹿灬
灬	丶丶丶丶
熛	火覀示
爂	𦥑冂{一}口冖火
猋	犬犬犬
瘭	疒覀示
磦	石覀示
穮	禾鹿灬
篻	竹覀示
脿	⺼龶𧘇
膔	⺼鹿
膘	⺼覀示
臕	⺼鹿灬
蔈	艹覀示
藨	艹鹿灬
表	龶𧘇
裱	衤龶𧘇
褾	衤覀示
諘	訁龶𧘇
謤	訁覀示
贆	貝犬犬犬
錶	金龶𧘇
鏢	金覀示
鑣	金鹿灬
镖	钅覀示
镳	钅鹿灬
颩	風彡
颮	風包
颷	風火火
飆	犬犬犬風
飇	風犬犬犬
飈	風火火火
飊	火火火風
飑	风包
飙	犬犬犬风
飚	风火火火
驫	馬馬馬
骉	马马马
骠	马覀示
髟	E𠫔彡
鳔	鱼覀示
麃	鹿灬
𠔂	刂八
𠚠	凵日勹止日勹止
𠬪	爫又
𢅚	巾覀示刂
𢒯	口虍巾彡
𢿏	覀示⺊又
𣄠	方𠂉犬犬犬
𤂆	氵爫子虍几
𤆀	氵馬馬馬
𤐫	臼丿囗㐅一火
𥘤	示少
𥲦	竹覀大丷
𦔗	耒广コ〢厶厶
𦔩	耒鹿灬
𦠎	⺼犬犬犬
𦾑	艹覀示刂
𧝪	衤覀土寸
𧥍	⺈用鹿灬
𧳀	豸巛山
𧴎	豸止止止
𧴕	豸心心心
𨭚	金覀示刂
𩪊	冎⺼覀示
𩴩	鬼火火火
𩽁	魚鹿灬
㢼	弓⺌冂小
㿜	疒自𠆢一口口口冂卄
䉲	竹弓{一}巾乂乂乂乂八
䋢	扌斤糸
䏟	⺼必
䠥	𧾷⺌冂小攵
䭱	禾日⺌冂小
別	口{⺈}刂
别	口力刂
彆	⺌冂小攵弓
徶	彳攵⺌冂小
憋	⺌冂小攵心
瘪	疒自仑
癟	疒自𠆢一冂卄
莂	艹口{⺈}刂
虌	艹⺌冂小攵口电
蛂	虫𠂇丶又
蟞	⺌冂小攵虫
襒	衤⺌冂小攵
蹩	⺌冂小攵足
鱉	⺌冂小攵魚
鳖	⺌冂小攵鱼
鼈	⺌冂小攵口电
龞	⺌冂小攵龜
𠍯	亻⺌冂小攵
𡐞	⺌冂小攵土
𡘴	大⺌冂小
𡙀	⺌冂小夨
𡙪	𭕄冂水夬
𡷘	山口{⺈}刂
𢆣	丷开亠亻{夜右下}
𢐳	弓艹冂丨乂乂乂乂
𢛎	忄⺌冂小
𢠳	忄⺌冂小攵
𣇢	日⺌冂小
𣊶	日⺌冂小攵
𤉤	火⺌冂小
𤷗	疒⺌冂小
𤺓	疒⺌冂小攵
𤾵	白⺌冂小攵廾
𥞲	禾口{⺈}刂
𥡁	禾必𠆢小
𧆊	艹⺌冂小攵魚
𧌽	虫⺌冂小
𧧸	訁口{⺈}刂
𧿥	𧾷匕匕
𨂅	𧾷⺌冂小
𨒜	辶必
𩓝	⺌冂小頁
𩠻	禾日𠆢丶㇇
𩡟	禾日业冂氺
𩦉	⺌冂小攵馬
𩵛	尢魚
𩸁	魚⺌冂小
𪂟	⺌冂小鳥
𪐆	禾人氺⺌冂小
㻞	𤣩户冂卄
䐔	⺼户冂卄
䚔	宀一𣥂貝見
份	亻分
傧	亻宀丘八
儐	亻宀一𣥂貝
宾	宀丘八
彬	木木彡
摈	扌宀丘八
擯	扌宀一𣥂貝
斌	文弋一止
梹	木丘八
椕	木分木
槟	木宀丘八
檳	木宀一𣥂貝
殡	歹宀丘八
殯	歹宀一𣥂貝
汃	氵八
滨	氵宀丘八
濒	氵止𣥂页
濱	氵宀一𣥂貝
濵	氵宀𠃜貝
瀕	氵止𣥂頁
玢	𤣩分
瑸	玉宀丘八
璸	𤣩宀一𣥂貝
砏	石分
繽	糹宀一𣥂貝
缤	纟宀丘八
膑	⺼宀丘八
臏	⺼宀一𣥂貝
虨	虍木木彡
豩	豕豕
豳	山豕豕
賓	宀一𣥂貝
賔	宀𠃜貝
邠	分⻏
鑌	金宀一𣥂貝
镔	钅宀丘八
霦	雨木木彡
頻	止𣥂頁
顮	宀一𣥂貝頁
频	止𣥂页
髌	冎⺼宀丘八
髕	冎⺼宀一𣥂貝
髩	E𠫔彡丏
鬂	E𠫔彡丘八
鬓	E𠫔彡宀丘八
鬢	E𠫔彡宀一𣥂貝
𠴇	口丘八
𡦆	{卑上}十乃子
𡦻	宀㔾
𡧍	宀丏
𡧼	宀八日
𢲰	扌⺼勹日
𣉮	日十{具-八}八
𣢏	分欠
𣰨	宀一𣥂貝毛
𥃰	亠目
𧷟	分宀一𣥂貝
𧸈	必宀一𣥂貝
𨐰	辛分辛
𨽗	⻖止𣥂頁
𩆱	雨虍几木木
𩴱	宀一𣥂貝鬼
𪇕	宀一𣥂貝鳥
㨀	扌千⺕人
䈂	竹丷开
䋑	糹一内
䓑	艹氵开
䗒	虫丷一业
䴵	來{夊}丷开
丙	一内
並	丷一业
仌	人人
仒	𠆢⺀
併	亻丷开
倂	亻丿干丿干
偋	亻尸丷开
傡	亻立立
兵	丘八
冫	丶㇀
冰	冫水
垪	土丷开
寎	宀爿一内
屏	尸丷开
屛	尸丿干丿干
并	丷开
幷	丿干丿干
庰	广丷开
怲	忄一内
抦	扌一内
掤	扌月月
摒	扌尸丷开
昞	日一内
昺	日一内
枋	木方
柄	木一内
栤	木冫水
棅	木千⺕人
氷	水丶
炳	火一内
琕	𤣩{卑上}十
病	疒一内
眪	目一内
禀	亠囗口示
秉	千⺕人
稟	亠囗口禾
窉	宀八一内
竝	立立
苪	艹一内
蛃	虫一内
誁	訁丷开
邴	丙⻏
鈵	金一内
鉼	金丷开
鋲	金丘八
陃	⻖一内
靐	雨田雨田雨田
鞆	革一内
餅	飠丷开
餠	飠丿干丿干
饼	饣丷开
鮩	魚丷开
𠊧	亻丷一业
𠒝	光一内
𠛥	丙刂
𠱛	刀冂八口
𡇤	丷囗古
𡖛	夕冂八口
𡚛	大又又臣又又土
𡲍	尸口幺力
𡹾	山日一内
𢆩	久巨丿干丿干
𢊜	广弓長
𢎴	弓大
𢔧	彳尸丷开
𣅍	囗日
𣦪	又又臣又又止
𣰜	毛冫馬几
𥖬	石冫馬几
𥲂	竹氵丿干丿干
𦡻	⺼冫馬几
𦼹	艹亠囗口禾
𦿅	艹冫馬几
𨆱	𧾷冫馬几
𨋲	車冫水
𨹗	⻖丷开
𩊖	革丷开
𩋒	革月月
𩬝	E𠫔彡一内
𩮟	E𠫔彡干囗人人
𩶁	魚一内
𪑰	{里}灬尸丷开
㖕	口辛
㗘	口甫寸
㝿	尢皮
㟑	山十冖子
㩧	扌日共氺
㩭	扌𦥑乂乂冖子
㪍	十冖子攵
㬍	日甫寸
㬧	日出糸
㱟	歹皮
㴾	氵十冖子攵
㶿	火十冖子
㹀	牜十冖子
䂍	矛日共氺
䊿	糹夫
䍨	{羊}十巾
䍸	{羊}甫寸
䑈	⺼幺幺白木
䒄	舟冖{一}口田
䗚	虫甫寸
䙏	衤甫寸
䞳	土龰立口
䟛	𧾷十巾
䢌	辶十巾
䢪	辶夭口冂口
䥬	金艹甫寸
䪇	革艹甫寸
䪬	立日十冖子
䫊	不口頁
䬪	飠不
䭦	飠艹氵甫寸
䭯	禾日出
䮀	馬包
䮂	馬𠂇丶又
䯋	冎⺼𠂇丶又
䰊	E𠫔彡甫寸
䵗	禾人氺{一}口田
䶈	臼{鼠下}甫寸
亳	亠口冖丿七
仢	亻勺
侼	亻十冖子
僠	亻釆田
僰	朿朿人
博	十甫寸
卜	丨丶
啵	口氵皮
噃	口釆田
壆	𦥑乂乂冖土
孹	尸口辛子
嶓	山釆田
帛	白巾
彴	彳勺
愽	忄甫寸
懪	忄日共氺
拨	扌{𠃊丿}丶又
挬	扌十冖子
搏	扌甫寸
撥	扌癶弓殳
播	扌釆田
擗	扌尸口辛
桲	木十冖子
榑	木甫寸
檗	尸口辛木
檘	木尸口辛
欂	木艹氵甫寸
殕	歹立口
泊	氵白
波	氵皮
浡	氵十冖子
淿	氵白巾
渤	氵十冖子力
溊	氵尸二コ又
煿	火甫寸
牔	片甫寸
狛	犭白
猼	犭甫寸
玻	𤣩皮
瓝	瓜勺
瓟	瓜包
癶	㇇丶丿丿乀
癷	癶干
皪	白幺幺白木
盋	𠂇丶又皿
砵	石本
碆	氵皮石
磻	石釆田
礡	石艹甫寸
礴	石艹氵甫寸
秡	禾𠂇丶又
穛	禾亻{隹右}灬
箔	竹氵白
簙	竹十甫寸
簸	竹卄二一八皮
簿	竹氵甫寸
糪	尸口辛米
缽	缶本
肑	⺼勺
胉	⺼白
脖	⺼十冖子
膊	⺼甫寸
舶	舟白
艊	舟白巾
苩	艹白
菠	艹氵皮
萡	艹氵白
葧	艹十冖子力
蔔	艹勹{一}口田
蕃	艹釆田
蘗	艹尸口辛木
蚾	虫皮
袯	衤{𠃊丿}丶又
袰	母衣
袹	衤百
襏	衤癶弓殳
襮	衤日共氺
謈	日共亠二口
譒	訁釆田
跛	𧾷皮
踣	𧾷立口
蹳	𧾷癶弓殳
郣	十冖子⻏
鈸	金𠂇丶又
鉑	金白
鉢	金本
鋍	金十冖子
鎛	金甫寸
鑮	金艹氵甫寸
钵	钅本
钹	钅𠂇丶又
铂	钅白
镈	钅甫寸
餑	飠十冖子
餺	飠甫寸
饽	饣十冖子
馎	饣甫寸
馛	禾日𠂇丶又
馞	禾日十冖子
駁	馬乂乂
駮	馬亠父
驋	馬癶弓殳
驳	马乂乂
髆	冎⺼甫寸
髉	冎⺼冖亻{隹右}
魄	白鬼
鱍	魚癶弓殳
鵓	十冖子鳥
鹁	十冖子鸟
𠧛	上尺
𠮭	口勺
𠱀	口皮
𠴸	氵皮口
𠷺	口十冖子力
𠸳	口⻖𠃊一内
𠺣	口彑⺢刂
𡀖	口金本
𡅂	口十冖子鳥
𡋯	土十冖子
𡯳	尢立口
𡯷	八儿立口
𢂍	巾𠂔
𢐾	弓弓十人人丿糸
𢠺	忄癶弓殳
𢣞	士冖虫心丸
𢩞	户辛爪
𢫯	扌亻犬
𢺽	㐅㐅支
𣋵	日幺幺白木
𣛓	木不長
𣧧	歹𠂇丶又
𣭷	十冖子毛
𣽡	氵十甫寸
𤃵	氵日共亠二口
𤒔	火糹甫寸
𤕝	㐅㐅⺊又
𤗳	片癶弓殳
𤗺	片尸口辛
𤚽	牜甫寸
𤜧	巾犬
𤶋	疒⺈巴
𤾝	白广木木
𤿑	八儿皮
𥜖	束厶矢示
𥭖	竹⺼勺
𥮯	竹亻寸大
𥴮	竹扌甫寸
𥸥	𠃌米
𥸨	コ米
𥹸	米十冖子
𦃙	日共糸
𦋉	罒月卩又
𦤚	自犬𠂇丶又
𦤣	十冖子自犬
𦯉	艹亻白
𦰬	艹白巾
𦲱	艹廾亻寸
𦼭	艹木甫寸
𦽮	艹舟殳女
𧇚	虍几亻白
𧘟	衤十巾
𧙄	衤本
𧟱	襾月卩又
𧲯	豸𠂇丶又
𧿲	𧾷𠂔
𨈩	身𠂇丶又
𨍭	車甫寸
𨏫	車艹氵甫寸
𨨏	金氵皮
𨭂	金{一}丨冖人人人人
𩃶	雨云𠂇丶又
𩄿	雨十冖子攵
𩈔	面可
𩌏	革甫寸
𩍿	革艹氵甫寸
𩏯	𫝀口㐄艹甫寸
𩓐	十冖子頁
𩗀	風白
𩗒	風亠父
𩗓	風十冖子
𩜥	氵皮𠆢丶艮
𩟕	飠土乛工一口寸
𩣡	馬十冖子
𩬸	E𠫔彡屰
𩯌	E𠫔彡癶弓殳
𩱚	弓弓鬲十冖子
𩷚	魚十冖子
𩽛	魚艹氵甫寸
𪌰	來{夊}十冖子
𪍡	來{夊}甫寸
𪓜	皮口电
𪙍	止凵人人一人人甫寸
𪚷	皮龜
㘵	土𠂇巾
㙛	土甫寸
㚴	女𠂇巾
㨐	扌亻口木
㳍	氵𠂇巾
㻉	𤣩止𣥂
㾟	疒止𣥂
䀯	目甫
䊇	米甫
䋠	糹甫
䍌	缶立口
䏽	⺼立口
䑰	舟止𣥂
䒈	舟十廾貝
䝵	貝甫
䪁	革业丷一夫
䪔	𫝀口㐄甫
䬏	風立口
䳝	立口鳥
䴝	占㐅丶丶丶丶日耳又
䴺	來{夊}立口
不	丆卜
佈	亻𠂇巾
勏	立口力
卟	口卜
吥	口不
咘	口𠂇巾
哺	口甫
埔	土甫
埗	土止𣥂
埠	土丿㠯十
婄	女立口
峬	山甫
布	𠂇巾
庯	广甫
廍	广立口⻏
怖	忄𠂇巾
悑	忄甫
抪	扌𠂇巾
捕	扌甫
捗	扌止𣥂
捬	扌广亻寸
晡	日甫
柨	木𠂇巾
步	止𣥂
歨	止龰
歩	止少
瓿	立口瓦
箁	竹立口
篰	竹立口⻏
荹	艹止𣥂
蔀	艹立口⻏
补	衤卜
補	衤甫
誧	訁甫
踄	𧾷止𣥂
轐	車业丷一夫
逋	辶甫
部	立口⻏
郶	立口口巴
醭	酉业丷一夫
鈈	金不
鈽	金𠂇巾
錻	金弋一止
钚	钅不
钸	钅𠂇巾
餔	飠甫
餢	飠立口
鯆	魚甫
鳪	卜鳥
鵏	甫鳥
鸔	鳥日共氺
𠘁	冫立口⻏
𠚉	凵禾
𠜙	甫刂
𡡐	女业丷一夫
𢁻	巾𠂇巾
𢇴	广𠂇巾
𢼹	甫⺊又
𣱶	氵卜
𤚵	牜亠厶𫶧口
𤣰	𤣩土
𤸵	疒甫寸
𥃨	目卜
𥑢	石𠂇巾
𥣌	禾山用用
𥪀	立甫
𥳖	竹木立口
𥹴	米止𣥂
𥻞	米宀夂口
𧉩	虫𠂇巾
𧻷	土龰甫
𨋞	車𠂇巾
𨛒	止𣥂⻏
𨴪	門甫
𩅇	雨立口⻏
𩊬	革甫
𩊶	革止𣥂
𩏮	𫝀口㐄士冖石木
𩏵	𫝀口㐄艹氵甫寸
𩢕	馬本
𩣝	馬止𣥂
𩯏	E𠫔彡业丷一夫
𩶉	魚𠂇巾
𩷖	魚止𣥂
𩺼	魚辶甫
𩻗	魚立口⻏
𪇰	日共氺鳥
䟃	土龰厶厶厶𠆢彡
䵽	士口䒑支去
嚓	口宀𱼀龴示
囃	口亠人人木亻{隹右}
拆	扌斥
擦	扌宀𱼀龴示
攃	扌艹𱼀龴示
礤	石艹𱼀龴示
礸	石⺧儿⺧儿貝
遪	辶厶厶厶𠆢彡
𤄖	氵亠人人木亻{隹右}
𥗭	石亠人人木亻{隹右}
𥩝	立手
𨆾	𧾷宀𱼀龴示
𨺭	⻖大百百
𪊗	鹿手
㒲	入日
㥒	忄采
䌨	糹艹𱼀龴示
䌽	⺰采
䐆	⺼采
䞗	土龰才
䣋	采⻏
䰂	E𠫔彡采
䴭	來{夊}才
倸	亻采
偲	亻田心
啋	口采
埰	土采
婇	女采
寀	宀采
彩	采彡
才	𬺰丿
扐	扌力
採	扌采
揌	扌田心
材	木才
棌	木采
毝	毛彡
猜	犭龶⺝
睬	目采
綵	糹采
縩	糹𱼀龴示
纔	糹⺈口匕匕兔
菜	艹采
蔡	艹𱼀龴示
裁	戈十衣
財	貝才
财	贝才
跴	𧾷西
踩	𧾷采
采	爫木
𡣮	女艹𱼀龴示
𢎂	弋人人
𤁱	氵艹𱼀龴示
𤚀	牜采
𤝭	犭止匕
𤟖	犭采
𤷕	疒采
𦬁	艹才
𧀊	艹糹采
𧵤	貝宀寸
𨙴	才⻏
𨯓	金艹𱼀龴示
𩁞	艹𱼀龴示亻{隹右}
𩧇	馬艹𱼀龴示
𪇭	艹𱼀龴示鳥
㘔	口宀𠀎八貝
㛑	歺又女
㜗	女厶厶厶𠆢彡
㣓	歺又米彡
㥇	忄戈戈
㦧	忄⺧儿⺧儿曰
㨻	車斤手
㱚	歹⺼
㺑	犭厶厶厶𠆢彡
㻮	𤣩𱼀龴示
㽩	田厶厶厶𠆢彡
㿊	疒兂兂曰
䅟	禾厶大彡
䍼	{羊}兂兂曰
䏼	⺼戈戈
䑶	舟龶⺝
䗝	礻申虫
䗞	天虫虫
䘉	天虫虫虫
䙁	衤戈戈
䛹	訁彑𧰨
䝳	歺又貝
䣟	兂兂曰⻏
䫮	𫜹工口寸頁
䬫	飠氐
䱗	歺又魚
䳻	車斤鳥
傪	亻厶厶厶𠆢彡
儏	亻歺又米
参	厶大彡
參	厶厶厶𠆢彡
叄	厶厶厶𠆢三
叅	厶厶厶𠆢⺗
喰	口𠆢丶艮
嘇	口厶厶厶𠆢彡
囋	口⺧儿⺧儿貝
嬠	女口口口木
孱	尸子子子
惨	忄厶大彡
惭	忄车斤
慘	忄厶厶厶𠆢彡
慙	車斤心
慚	忄車斤
憯	忄兂兂曰
掺	扌厶大彡
摲	扌車斤
摻	扌厶厶厶𠆢彡
朁	兂兂曰
残	歹戋
殘	歹戈戈
湌	氵𠆢丶艮
澯	氵歺又米
灿	火山
燦	火歺又米
爘	火歺又𠆢丶艮
璨	𤣩歺又米
穇	禾厶厶厶𠆢彡
篸	竹厶厶厶𠆢彡
粲	歺又米
薒	艹歺又米
蚕	天虫
蝅	天天虫
蠶	兂兂曰虫虫
蠺	天天日虫虫
謲	訁厶厶厶𠆢彡
鏒	金厶厶厶𠆢彡
飡	冫𠆢丶艮
餐	歺又𠆢丶艮
驂	馬厶厶厶𠆢彡
骖	马厶大彡
黪	{里}灬厶大彡
黲	{里}灬厶厶厶𠆢彡
𠠋	歺又貝刂
𠡡	歺又力
𠫭	厶大小
𡆮	囗士
𡛝	歺女
𡡖	女兂兂曰
𢦸	口口戈
𢧮	目目戈
𢾃	⺊囗人人⺊又
𣦼	歺又
𣶡	氵囗歺
𣻬	氵癶米
𤅒	氵雨厶厶厶𠆢⺗
𥂥	歺戈戈皿
𥠩	禾厶大⺗
𥢽	禾歺又米
𥹛	九攵米
𦪜	舟厶厶厶𠆢⺗
𦪫	舟歺又米
𦺐	艹歹戈戈
𧅀	艹車斤金
𧓩	虫歺又貝
𨅔	𧾷兂兂曰
𨞷	夭夭虫⻏
𨲱	E𠫔厶厶厶𠆢⺗
𩀧	車斤亻{隹右}
𩈻	車斤面
𩈼	面厶厶厶𠆢彡
𩛳	木凡𠆢丶艮
𩝖	巛歹刂𠆢丶艮
𩞀	飠厶厶厶𠆢彡
𩟒	飠宀八土儿夂
