a	a art.一;字母A
advanced	advanced a.高等的;在前的;年老的;先进的
advancement	advancement n.前进;进步
advancing	advancing vbl.前进;增加;上涨
advantage	advantage n.优点;便利;好处;优势 vt.有助于
advantaged	advantaged a.有利的;占有利地位的;得天独厚的
advantageous	advantageous a.有利的;有益的;方便的
advent	advent n.来到;来临;耶稣降临时
adventitious	adventitious a.偶然的;外来的
adventurous	adventurous a.喜欢冒险的;大胆的;惊险的
adventruous	adventruous a.喜欢冒险的;大胆的;惊险的
adventure	adventure n.冒险;冒险的经历 vt.vi.冒险
adventurer	adventurer n.冒险家;投机者
adventuresome	adventuresome a.冒险性的
adventuress	adventuress n.女冒险家;女骗徒
adverb	adverb n.副词
adverbial	adverbial a.副词的
adversary	adversary n.敌手;对手
adversative	adversative a.反意的;反对的 n.反义字
adverse	adverse a.不利的;敌对的;相反的;逆的
adversity	adversity n.不幸;灾祸
advert	advert vi.注意;留意;言及 n.广告
advertent	advertent a.注意的;留意的
advertise	advertise vt.做广告;通知 vi.做广告
advertised	advertised adj.广告的
advertisement	advertisement n.广告;启事;做广告
advertiser	advertiser n.广告者;广告客户
advertising	advertising n.广告业;广告 a.广告的
advice	advice n.忠告;通知
advices	advices n.pl.消息
advisability	advisability n.明智
advisable	advisable a.适当的;明智的
advise	advise vt.劝告;通知;与...商量;建议 vi.提意见;商量
advised	advised a.考虑过的;细想过的
advisedly	advisedly ad.经过考虑地;故意地
advisement	advisement n.熟思;劝告;考虑
adviser	adviser n.顾问;指导教授;劝告者
advising	advising vbl.劝告;通知;忠告
advisor	advisor n.顾问;指导教授;劝告者
advisory	advisory a.劝告的;顾问的;咨询的
advocacy	advocacy n.拥护;支持;鼓吹
advocate	advocate n.提倡者;拥护者 vt.主张;提倡
advocator	advocator n.拥护者;提倡者
advowson	advowson n.圣职授与权
adynamic	adynamic a.衰弱的
adytum	adytum n.内殿;内院;密室
adz	adz n.手斧
aegis	aegis n.盾;保护;庇护
Aneesa	Aneesa n.Troy战争中的勇士
aeneas	aeneas n.Troy战争中的勇士
Aeolian	Aeolian a.风神Aeolus的;Aeolis的;伊欧里斯人的
aeon	aeon n.永世;无数的年代
aerate	aerate vt.使暴露于空气中;使充满气体
aerated	aerated adj.充气的
aerating	aerating adj.充气的
aeration	aeration n.通风
aerial	aerial a.空中的;航空的;空想的;空气的
aerialist	aerialist n.高空杂技师
aerially	aerially ad.在空中;象空气一样;空想地
aerie	aerie n.鹰巢;高处的房子;高处的城堡
aerification	aerification n.与空气化合;气体化;气化
aeriform	aeriform a.空气状的;气体的;无形的
aerify	aerify vt.使与空气化合;气体化;气化
aero	aero a.飞机的;航空的;飞行的
aerobatics	aerobatics n.特技飞行;特技飞行术
aerobe	aerobe n.好氧性生物
aerobic	aerobic a.好氧性的;氧气的;依靠氧气的
aerobics	aerobics n.健美操
aerobiology	aerobiology n.大气生物学
aerodonetics	aerodonetics n.滑翔术;空中滑翔学
aerodrome	aerodrome n.飞机场;机场
aerodynamic	aerodynamic adj.空气动力
aerodynamicist	aerodynamicist n.空气动力学者;气体力学者
aerodynamics	aerodynamics n.空气动力学;气体力学
aeroembolism	aeroembolism n.气泡栓塞症;高空病
aerogram	aerogram n.无线电报;航空邮件;航空邮简
aerolite	aerolite n.陨石
aerologist	aerologist n.高空气象学家
aerology	aerology n.高空气象学
aerometer	aerometer n.量气计;气体计
aeronaut	aeronaut n.气球驾驶员
aeronautic	aeronautic a.航空的
aeronautics	aeronautics n.航空学;航空术
aerophare	aerophare n.无线电指标
aeroplane	aeroplane n.飞机
aeroport	aeroport n.机场
aerosol	aerosol n.烟雾
aerospace	aerospace n.航空宇宙
aerostat	aerostat n.航空器
aery	aery n.高巢;高处房子;高处的城堡
Aeschylus	Aeschylus n.希腊的悲剧诗人
Aesop	Aesop n.伊索
Aesopian	Aesopian a.伊索的
aesthete	aesthete n.审美家;唯美主义者
aesthetic	aesthetic a.美学的;审美的;有美感
aesthetics	aesthetics n.美学
aestivate	aestivate vi.过夏季;夏眠
aether	aether n.醚;以太;上空
afar	afar ad.由远处;遥远地
afc	afc n.声频抗流圈
afeared	afeared a.恐惧的
affability	affability n.和蔼;殷勤;亲切
affable	affable a.和蔼可亲的;友善的;殷勤的
affably	affably ad.殷勤地
affair	affair n.事件;恋爱事件
affairs	affairs n.事宜
affect	affect vt.影响;假装;爱好;感动;倾向于 n.感情
affectation	affectation n.假装;虚饰;做作
affected	affected a.假装的
affecting	affecting a.感人的;动人的
affection	affection n.爱;情感;影响;病
affectionate	affectionate a.情深的;充满情爱的
affectionately	affectionately ad.挚爱地;亲切地
affective	affective a.情感的
affenpinscher	affenpinscher n.当宠物的小型狗的一种
afferent	afferent a.传入的;向心的
affettuoso	affettuoso ad.情感丰富地
affiance	affiance n.信托;婚约 vt.订婚
affiant	affiant n.口供人
affidavit	affidavit n.口供;宣誓书;
affiliate	affiliate vt.附属;接纳 vi.有关
affiliated	affiliated adj.附属的
affiliation	affiliation n.加入;联盟;友好关系
affinity	affinity n.密切关系;强烈的吸引力
affirm	affirm vt.vi.断言;确认;肯定
affirmable	affirmable a.可断言的
affirmance	affirmance n.断言;确认
affirmation	affirmation n.肯定;断言;主张
affirmative	affirmative a.肯定的;正面的 n.肯定语
affirmatory	affirmatory a.确定的;肯定的;承诺的
affix	affix vt.使附于;署名;粘贴
affix to	affix to v.签署;贴上
afflatus	afflatus n.一阵风;灵感
afflict	afflict vt.使痛苦;折磨
affliction	affliction n.痛苦;苦恼;苦难
afflictive	afflictive a.给人痛苦的;苦恼的;难受的
affluence	affluence n.富裕;富足;流入
affluent	affluent a.丰富的;富裕的 n.支流
afflux	afflux n.流入;注入;涌进
afford	afford vt.提供;供应得起;给予
affordable	affordable adj.提供得起的
afforest	afforest vt.造林于空地
afforestation	afforestation n.造林
affray	affray n.吵架;骚扰;滋事
affreightment	affreightment n.租船货运
affricate	affricate n.塞擦声
affront	affront n.侮辱 vt.侮辱;冒犯;面对
affusion	affusion n.注水
afghan	afghan a.阿富汗的;阿富汗人的 n.阿富汗人;阿富汗语;毛毯之一种
Afghanistan	Afghanistan n.阿富汗
aficionado	aficionado n.狂;迷
afield	afield ad.至野外;在田野;至远方
afire	afire a.着火的 ad.着火
aflame	aflame a.燃烧中的 ad.燃烧中
afloat	afloat ad.飘浮在水上或空中;在海上的
aflutter	aflutter a.飘扬的 ad.飘扬
afoot	afoot a.徒步的;在准备中;在进行中的 ad.在准备中;在进行中
afore	afore ad.prep.在前
aforementioned	aforementioned a.上述的;前述的
aforesaid	aforesaid a.上述的;前述的
aforethought	aforethought a.事先考虑的;预谋的;故意的
afoul	afoul a.相冲突的 ad.相冲突地
afraid	afraid a.害怕的;恐怕;遗憾
afreet	afreet n.恶魔
afresh	afresh ad.重新;再度
Africa	Africa n.非洲
African	African n.非洲人 a.非洲的;非洲人的
Afrikaans	Afrikaans n.公用荷兰语;南非洲的荷兰语
Afrikaner	Afrikaner n.欧洲血统的南非人
Afro-American	Afro-American n.非洲系美国人;美国黑人
aft	aft ad.在船尾
after	after ad.在...之后 prep.在...之后;依照 conj.在...之后
afterbirth	afterbirth n.衣胞;胎胞
afterburner	afterburner n.喷射引擎等的补燃装置
aftercare	aftercare n.疾病治疗后的照顾调养;安置
afterdeck	afterdeck n.后甲板
aftereffect	aftereffect n.余波;后效;后果
afterglow	afterglow n.晚霞;夕照
afterheat	afterheat n.余热
afterimage	afterimage n.余象
afterlight	afterlight n.晚霞;后见之明
aftermarket	aftermarket n.贩卖修理用零件的市场
aftermath	aftermath n.结果;后果
aftermost	aftermost a.最后的;最后部的;近船尾的
afternoon	afternoon n.午后;下午
afterpiece	afterpiece n.最后一幕短喜剧
afterpulse	afterpulse n.余脉波
aftertaste	aftertaste n.回味;余韵
aftertast	aftertast n.回味;余韵
afterthought	afterthought n.事后才有的想法;追悔;再思
afterward	afterward ad.然后;后来
afterwards	afterwards ad.然后;后来地
afterword	afterword n.编后记
ag	ag a.农业的
again	again ad.再一次;此外;倍
against	against prep.反对;靠;倚
agama	agama n.飞龙科蜥蜴
agamogenesis	agamogenesis n.无性生殖
agape	agape ad.张口发呆地;目瞪口呆地
agaric	agaric n.蘑姑;木耳
agate	agate n.玛瑙;5.5点铅字
Agatha	Agatha n.艾格思
agave	agave n.龙舌兰属植物
agaze	agaze ad.瞪视;注视
age	age n.年龄;年老 vt.vi.成熟;变老
aged	aged a.年老的;经过相当岁月的;有...岁的
ageing	ageing n.成熟
ageless	ageless a.不老的;永恒的
agelong	agelong a.长年的;持久的;永续的
agency	agency n.代理;媒介;经销商
agenda	agenda n.pl.议程;应办事项
agendum	agendum n.议程;应办事项
agent	agent n.代理商
ageratum	ageratum n.霍香
agglomerate	agglomerate n.团;块 a.成块的;凝聚的 vt.使成团;使成块;使凝聚 vi.成团;成块;凝聚
agglomerating	agglomerating adj.凝结的
agglomeration	agglomeration n.结块;凝聚;块
agglutinant	agglutinant n.粘着剂;胶合剂 a.粘性的
agglutinate	agglutinate a.粘着的;胶合的 vt.使...粘着 vi.成胶状;粘合
agglutination	agglutination n.粘着;胶合;粘着状态
agglutinative	agglutinative a.会粘着的;会胶合的;胶合性的
agglutinin	agglutinin n.凝集素
aggrandize	aggrandize vt.增加;夸大
aggrandizement	aggrandizement n.增大;扩大;强化
aggravate	aggravate vt.使恶化;使更严重加重
aggravated	aggravated adj.尖锐化
aggravating	aggravating a.使更恶化的;加重的;恼人的
aggravation	aggravation n.更恶化;加厉;恼怒
aggregate	aggregate n.合计;总计;集合体 a.合计的;集合的;聚合的 vt.vi.聚集;集合;合计
aggregated	aggregated pp.聚集
aggregation	aggregation n.集合;聚合;集合体
aggregative	aggregative a.集合的;集合性的;集团的
aggress	aggress vi.攻击
aggression	aggression n.进攻;侵略
aggressive	aggressive a.侵略的;攻击性的
aggressor	aggressor n.侵略者;侵略国;攻击者
aggrieve	aggrieve vt.使委屈;使苦恼;侵害
aggrieved	aggrieved a.受虐待的;抱不平的;权利受到不法侵害的
aghast	aghast a.惊骇的;吓呆的
agile	agile a.敏捷的;灵活的;轻快的
agility	agility n.敏捷;灵活;轻快
ageism	ageism n.歧视老年人
agism	agism n.歧视老年人
agitate	agitate vt.使摇动;骚动 vi.鼓动
agitated	agitated adj.搅动的
agitatedly	agitatedly ad.动摇;兴奋
agitating	agitating ing.搅拌
agitation	agitation n.激动;兴奋;煽动
agitato	agitato ad.激动地;兴奋地
agitator	agitator n.煽动者
agitprop	agitprop n.煽动与宣传 a.宣传鼓动的
aglet	aglet n.金属箍;肩带
agley	agley ad.斜斜地;弯曲地
aglimmer	aglimmer a.闪烁的 ad.闪烁地
aglitter	aglitter a.灿烂的 ad.灿烂地;闪光地
aglow	aglow a.发红的;通红的 ad.发红地
Agnes	Agnes n.爱格妮思
agnostic	agnostic n.不可知论者
agnosticism	agnosticism n.不可知论
ago	ago ad.以前
agog	agog a.兴奋的;急切的 ad.急切地;渴望
agon	agon n.斗争;
agonal	agonal a.濒死的
agonic	agonic a.不成角的
agonistic	agonistic a.竞赛的;论争的;不认输的
agonize	agonize vt.使苦恼;折磨 vi.感到痛苦
agonizing	agonizing a.苦恼的;痛苦难忍的
agony	agony n.极大的痛苦
agora	agora n.集会;集会所;市场
agoraphobia	agoraphobia n.广场恐怖症
agorot	agorot n.agora的复数形
agouti	agouti n.刺鼠
agraffe	agraffe n.搭扣
agrarian	agrarian a.有关土地的;耕地的
agravic	agravic n.无重力情况
agree	agree vi.同意;赞成;承认适合 vt.同意
agree with	agree with v.同意;适合
agreeable	agreeable a.愉快的;和蔼可亲的;同意的
agreeably	agreeably ad.愉快地;欣然
agreed	agreed adj.同意的
agreement	agreement n.同意;合约;协议
agribusiness	agribusiness n.农业综合企业
agricultural	agricultural a.农业的
agriculture	agriculture n.农业
agrimony	agrimony n.龙芽草
agrology	agrology n.土壤学
agronomic	agronomic a.农艺学的;农事的
agronomist	agronomist n.农艺学家;农学家
agronomy	agronomy n.农艺学;农学
aground	aground ad.搁浅地;地面上
ague	ague n.疟疾;打冷颤;发冷
agued	agued a.害疟疾的
aguish	aguish a.易患疟疾的;疟疾的;患了疟疾的
ah	ah int.啊;哈
aha	aha int.啊哈
Ahab	Ahab n.以色列之王
ahead	ahead ad.向前地;胜于;在前面
ahem	ahem int.啊咳
ahimsa	ahimsa n.不杀生
ahoy	ahoy int.喂
ai	ai n.人工智能的缩写 n.三趾树獭;唉哟
aid	aid n.帮助;有助之物;助手 vt.援助;帮助
aide	aide n.助手;帮助者
aided	aided adj.辅助的
aide-de-camp	aide-de-camp n.副官;侍从武官
aidedecamp	aidedecamp n.副官;侍从武官
aidman	aidman n.战地急救员
aids	aids n.爱滋病
aiee	aiee n.美国电机工程学会
aigret	aigret n.鹭;冠毛;鹭鸶毛帽饰
aiguillette	aiguillette n.肩带
ail	ail vt.使苦恼 vi.苦恼;生病
ailanthus	ailanthus n.臬春
aileron	aileron n.副翼
ailing	ailing a.生病的
ailment	ailment n.小病;疾病
aim	aim n.目标;瞄准 vi.对准目标;打算 vt.瞄准
aim at	aim at v.瞄准;针对
aimless	aimless a.无目的的;没有目标的
ain't	ain't prep.不是
ainu	ainu n.虾夷人;虾夷语
air	air n.空气;旋律;态度 vt.晾干;使通风;夸耀
airbed	airbed n.空气床
airborne	airborne a.空运的;空中传播的;空降的
airbrush	airbrush n.油漆喷雾器
airbus	airbus n.空中巴士
aircraft	aircraft n.航行器
aircrew	aircrew n.全体机员
airdrome	airdrome n.飞机场;机场
airdrop	airdrop n.空投 vt.空投
airfield	airfield n.飞机场
airflow	airflow n.气流
airforce	airforce n.空军
airframe	airframe n.机身
airfreight	airfreight n.货物空运;空运货物;货物空运费 vt.空运
airglow	airglow n.气辉
airgraph	airgraph n.拍照航空信
airily	airily ad.轻轻地;快活地
airiness	airiness n.通风;空气流通;空虚
airing	airing n.晾干;风干;兜风
airless	airless a.没有风的;不通风的
airlift	airlift n.空运;空运物资 vt.空运
airline	airline n.航空公司
airliner	airliner n.定期班机;客机
airlines	airlines n.航空公司
airmail	airmail n.航空邮件
airman	airman n.飞行员;空军
airometer	airometer n.量气计
airpark	airpark n.小飞机场
airplane	airplane n.飞机
airport	airport n.飞机场
airs	airs n.摆个架子
airscrew	airscrew n.螺旋桨
airship	airship n.飞艇;飞船
airsick	airsick a.晕机的;患航空病的
airsickness	airsickness n.晕机
airspace	airspace n.上空;空气;空间
airspeed	airspeed n.空速
airstrip	airstrip n.飞机跑道
airtight	airtight a.密闭的;不透气的;无懈可击的
airwave	airwave n.电视;广播的频道
airwaves	airwaves n.空气波动
airway	airway n.空中航线;通风孔
airways	airways n.航空公司
airwoman	airwoman n.女飞行家;女飞行员
airworthiness	airworthiness n.耐飞性
airworthy	airworthy a.耐飞的;适宜航空的
airy	airy a.空气的;幻想的;轻快的
aisle	aisle n.走廊;侧廊
aitch	aitch n.H;h的字母;h音 a.H形的
Aiwa	Aiwa n.日本爱华公司
ajar	ajar a.微开的;半开的;不和谐的 ad.微开;半开;格格不入
akimbo	akimbo a.两手叉腰的 ad.两手叉腰
akin	akin a.血族的;同族的;同种的
akos	akos n.阿尔卑斯山脉
ala	ala n.翼;翅
Alabama	Alabama n.阿拉巴马州
alabaster	alabaster n.雪花石膏
alacarte	alacarte a.照菜单点 ad.照菜单点
alacrity	alacrity n.敏捷;轻快;乐意
